clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
10.0,75,10.0,27.125,enth28,30.0317
10.0,71,11.0,30.938,enth10,30.56
11.0,71,11.0,32.625,enth10,31.67
11.0,71,11.0,32.688,enth10,31.67
11.0,71,10.0,32.5,enth10,31.67
11.0,71,10.0,31.812,enth10,31.11
10.0,73,9.0,24.0,enth10,22.4
10.0,73,9.0,29.812,enth10,22.1
10.0,74,11.0,26.812,enth10,22.8
10.0,74,11.0,30.375,enth10,31.67
10.0,74,11.0,30.75,enth10,31.67
10.0,74,11.0,30.625,enth10,26.11
10.0,77,10.0,26.562,enth10,26.11
11.0,77,10.0,26.312,enth10,26.11
10.0,77,10.0,28.25,enth10,27.78
10.0,77,11.0,31.938,enth10,31.67
10.0,77,10.0,30.625,enth10,31.67
10.0,77,10.0,28.938,enth10,30.56
10.0,78,9.0,31.188,enth10,30.063
10.0,78,10.0,31.062,enth10,31.11
10.0,78,10.0,31.188,enth10,28.33
10.0,78,10.0,30.5,enth10,27.5
10.0,78,11.0,30.5,enth10,30.0317
10.0,78,10.0,30.625,enth10,30.2382
10.0,78,10.0,25.938,enth10,26.2
10.0,78,10.0,25.875,enth10,26.1
10.0,78,10.0,26.062,enth10,26.2
10.0,78,11.0,26.5,enth10,22.3
10.0,78,10.0,25.5,enth10,22.9
10.0,78,10.0,24.438,enth10,22.3
10.0,78,10.0,23.938,enth10,22.4
10.0,78,10.0,23.438,enth10,22.1
10.0,78,10.0,30.312,enth10,29.383
10.0,78,10.0,31.5,enth10,28.09491
10.0,78,10.0,27.0,enth10,28.09491
10.0,78,10.0,28.312,enth10,28.09491
10.0,78,10.0,26.625,enth10,28.09491
10.0,78,10.0,26.812,enth10,28.09491
10.0,80,10.0,27.062,enth10,28.09491
10.0,80,9.0,27.562,enth10,26.3
10.0,80,9.0,27.375,enth10,26.3
10.0,80,10.0,25.5,enth10,26.4
10.0,80,10.0,25.625,enth10,26.5
10.0,80,10.0,25.5,enth10,26.5
10.0,80,10.0,26.812,enth10,27.0
10.0,80,10.0,27.312,enth10,26.6
10.0,66,11.0,27.5,enth03,23.979935
10.0,66,11.0,27.312,enth03,23.979935
10.0,66,11.0,27.25,enth03,23.979935
10.0,66,11.0,26.562,enth03,23.979935
10.0,67,11.0,26.5,enth03,24.049362
10.0,67,11.0,26.375,enth03,24.078735
10.0,68,10.0,26.625,enth03,23.907837
10.0,68,11.0,27.0,enth03,24.5656662
10.0,68,11.0,28.375,enth03,24.006638
10.0,68,10.0,27.312,enth03,24.022659
10.0,68,11.0,27.25,enth03,23.979935
10.0,68,11.0,27.375,enth03,24.54000092
10.0,68,10.0,27.562,enth03,24.40393257
10.0,68,11.0,26.875,enth03,23.907837
10.0,68,11.0,30.0,enth03,23.667503
9.0,68,11.0,28.562,enth03,24.489967
9.0,68,11.0,26.625,enth03,24.391167
9.0,69,11.0,27.812,enth03,24.335091
9.0,69,11.0,27.875,enth03,24.361794
9.0,69,10.0,26.0,enth03,24.233612
9.0,68,11.0,26.625,enth03,23.2668
9.0,68,11.0,26.812,enth03,23.811707
10.0,68,11.0,28.0,enth03,24.970627
10.0,68,11.0,27.375,enth03,24.4172
10.0,68,11.0,27.0,enth03,24.714272
9.0,68,10.0,28.25,enth03,24.532692
9.0,68,10.0,29.125,enth03,23.4869
10.0,68,10.0,26.75,enth03,24.289696
10.0,70,10.0,25.938,enth03,23.37
10.0,69,10.0,25.375,enth03,24.233612
10.0,69,11.0,25.875,enth03,23.223
10.0,69,11.0,25.562,enth03,23.3982
10.0,68,11.0,25.375,enth03,23.4869
10.0,67,11.0,25.938,enth03,23.3533
10.0,67,11.0,25.5,enth03,23.8269
9.0,67,11.0,26.0,enth03,23.7685
9.0,67,11.0,27.0,enth03,23.7966
9.0,67,11.0,28.5,enth03,24.361794
9.0,67,11.0,26.75,enth03,23.7685
9.0,67,11.0,26.75,enth03,24.303047
9.0,67,11.0,28.438,enth03,23.4566
9.0,67,11.0,28.125,enth03,24.289696
9.0,67,11.0,27.25,enth03,23.8717
9.0,67,11.0,27.875,enth03,25.098801
9.0,67,10.0,25.625,enth03,24.532692
9.0,67,10.0,26.875,enth03,24.631493
9.0,67,10.0,26.625,enth03,24.433891
9.0,67,10.0,26.75,enth03,23.6037
9.0,67,10.0,30.062,enth03,23.4566
9.0,67,10.0,27.812,enth03,23.3533
9.0,66,11.0,27.438,enth03,24.12146
9.0,66,9.0,26.188,enth03,24.1805
9.0,66,11.0,26.188,enth03,24.0918
9.0,62,10.0,26.812,enth04,23.232239
9.0,63,10.0,27.25,enth04,26.4
9.0,63,10.0,27.125,enth04,26.3
9.0,62,10.0,28.875,enth04,26.6
9.0,61,10.0,28.625,enth04,26.6
10.0,61,10.0,31.938,enth04,26.236359
10.0,63,11.0,30.5,enth04,26.54612
9.0,60,11.0,32.812,enth04,32.22
9.0,60,10.0,32.812,enth04,32.22
10.0,61,11.0,28.312,enth04,25.2641
10.0,61,11.0,29.375,enth04,25.6396
10.0,61,11.0,29.375,enth04,25.7596
10.0,61,11.0,29.812,enth04,27.7
10.0,61,11.0,30.5,enth04,26.498
9.0,61,11.0,32.062,enth04,23.8217
9.0,61,11.0,29.438,enth04,23.5734
